Year,Month,Profit
2014,1,2450.1907
2014,2,862.3084
2014,3,498.7299
2014,4,3488.8352
2014,5,2738.7096
2014,6,4976.5244
2014,7,-841.4826000000002
2014,8,5318.105
2014,9,8328.0994
2014,10,3448.2573
2014,11,9292.1269
2014,12,8983.5699
2015,1,-3281.007
2015,2,2813.8508
2015,3,9732.0978
2015,4,4187.4962
2015,5,4667.869
2015,6,3335.5572
2015,7,3288.6483
2015,8,5355.8084
2015,9,8209.1627
2015,10,2817.366
2015,11,12474.7884
2015,12,8016.9659
2016,1,2824.8233
2016,2,5004.5795
2016,3,3611.9680000000003
2016,4,2977.8149
2016,5,8662.1464
2016,6,4750.3781
2016,7,4432.8778999999995
2016,8,2062.0693
2016,9,9328.6576
2016,10,16243.142500000002
2016,11,4011.4075
2016,12,17885.3093
2017,1,7140.4391
2017,2,1613.8719999999998
2017,3,14751.891500000002
2017,4,933.2899999999998
2017,5,6342.5828
2017,6,8223.3357
2017,7,6952.6212
2017,8,9040.9557
2017,9,10991.5556
2017,10,9275.2755
2017,11,9690.1037
2017,12,8483.346800000001
